Date,Temp_Max,Temp_Min,Rain_mm,Humidity,Heatwave,RainFlag
2025-03-22,35.7,20.6,0,33.96,1,0
2025-03-23,36.5,20.6,0,38.75,1,0
2025-03-24,37.5,22.5,0,29.58,1,0
2025-03-25,37.3,22.2,0,37.79,1,0
2025-03-26,37.6,23.3,0,32.58,1,0
2025-03-27,36.5,22.7,0,35.96,1,0
2025-03-28,37.4,22.2,0,39.50,1,0
2025-03-29,37.9,24.4,0,32.13,1,0
2025-03-30,39,26.1,0,25.75,1,0
2025-03-31,38.9,26.4,0,27.92,1,0
2025-04-01,35.8,26.1,0.9,34.58,1,1
2025-04-02,36.5,23,7.2,46.21,1,1
2025-04-03,34.6,23.2,0.1,52.92,0,1
2025-04-04,36.5,22.2,0,56.04,1,0
2025-04-05,37.4,22.9,0,39.88,1,0
2025-04-06,39.8,24.1,0,25.17,1,0
2025-04-07,39.3,25,0,21.88,1,0
2025-04-08,40.2,25.6,0,18.71,1,0
2025-04-09,40.1,23.7,0,33.25,1,0
2025-04-10,37.5,24.3,0,48.13,1,0
2025-04-11,37,22.4,0,49.29,1,0
2025-04-12,36.5,22.2,0,45.96,1,0
2025-04-13,39.5,20.9,0,49.46,1,0
2025-04-14,39.8,23.7,0,28.50,1,0
2025-04-15,40.9,24.6,0,25.25,1,0
2025-04-16,40.3,25.3,0,31.21,1,0
2025-04-17,39.8,22.8,0,46.63,1,0
2025-04-18,38.9,23.3,0,46.29,1,0
2025-04-19,38.8,24.3,0,41.25,1,0
2025-04-20,38.4,24,0,36.08,1,0
2025-04-21,40.3,23.8,0,40.13,1,0
2025-04-22,40.7,25.1,0,45.29,1,0
2025-04-23,40.6,25,0,36.96,1,0
2025-04-24,41.1,24.3,0,39.00,1,0
2025-04-25,39.5,24.3,0,35.46,1,0
2025-04-26,39.5,23.8,0,37.83,1,0
2025-04-27,41.1,23.7,0,39.58,1,0
2025-04-28,41,22.1,0,40.83,1,0
2025-04-29,40.4,24.1,0,44.54,1,0
2025-04-30,38.5,22.8,0,51.33,1,0
2025-05-01,39.8,24.3,0,43.00,1,0
2025-05-02,40.7,25.6,0,28.83,1,0
2025-05-03,37,25.3,0,30.71,1,0
2025-05-04,36.3,22.8,0,45.21,1,0
2025-05-05,37.3,22.5,0,52.92,1,0
2025-05-06,36,22.5,0,59.33,1,0
2025-05-07,34.2,22.5,0.1,57.67,0,1
2025-05-08,33.1,22.4,0,61.29,0,0
2025-05-09,32.4,22.2,3.2,65.33,0,1
2025-05-10,33.8,22.1,1.3,63.58,0,1
2025-05-11,35.5,23.3,1.1,67.38,1,1
2025-05-12,35.6,23.7,2.1,67.08,1,1
2025-05-13,33.6,23.6,1.5,74.00,0,1
2025-05-14,33.5,23.2,0.7,71.58,0,1
2025-05-15,35.3,23.9,3.7,71.33,1,1
2025-05-16,33.1,24.1,4,75.67,0,1
2025-05-17,32.9,23.7,4.1,76.88,0,1
2025-05-18,33.1,23.3,1.6,76.08,0,1
2025-05-19,32.4,23.9,6.7,78.46,0,1
2025-05-20,29.8,23.7,15,85.88,0,1
2025-05-21,29.5,22.7,4.3,82.67,0,1
2025-05-22,28.2,22.7,17.1,91.08,0,1
2025-05-23,25.3,21.9,22.3,94.29,0,1
2025-05-24,26.1,22.7,34.2,93.83,0,1
2025-05-25,25,22.4,37.4,94.75,0,1
2025-05-26,27,22.3,55,92.04,0,1
2025-05-27,29,22.6,6.5,87.54,0,1
2025-05-28,29.6,23,3.5,82.92,0,1
2025-05-29,31.5,23.5,0,78.67,0,0
2025-05-30,31.1,24.1,0.1,77.13,0,1
2025-05-31,30.8,23.9,0,76.67,0,0
2025-06-01,29.2,23.3,2,81.00,0,1
2025-06-02,30.1,22.8,0,78.08,0,0
2025-06-03,29.7,23,0.7,77.67,0,1
2025-06-04,29.9,22.3,2.1,78.58,0,1
2025-06-05,29.6,21.3,1.1,76.79,0,1
2025-06-06,30.9,22.4,1.9,76.21,0,1
2025-06-07,30,23,9.3,81.88,0,1
2025-06-08,31.9,22,0.4,79.25,0,1
2025-06-09,29.8,23.5,2.5,79.13,0,1
2025-06-10,31.9,22.3,1.6,78.13,0,1
2025-06-11,32.3,23.6,2.4,78.25,0,1
2025-06-12,31.9,24,28,85.46,0,1
2025-06-13,31.6,23.2,6.2,79.96,0,1
2025-06-14,31.2,23.1,31.3,85.88,0,1
2025-06-15,29.6,23.9,3.7,83.88,0,1
2025-06-16,25.3,22.9,25.8,90.96,0,1
2025-06-17,27.1,22.4,6.6,84.79,0,1
2025-06-18,27.3,22.9,9,85.63,0,1
2025-06-19,26.9,22.8,35.3,90.13,0,1
2025-06-20,27.5,22.8,2.5,83.38,0,1
2025-06-21,27.4,22.8,3.6,83.58,0,1
2025-06-22,27.7,22.9,2.4,82.96,0,1
2025-06-23,27.3,22.9,7.8,85.08,0,1
2025-06-24,26.9,22.8,15.7,87.92,0,1
2025-06-25,27.2,23.5,3.4,85.25,0,1
2025-06-26,27.1,23.2,4.2,86.00,0,1
2025-06-27,27.2,23.1,4.3,84.42,0,1
2025-06-28,27.4,22,7.3,85.71,0,1
2025-06-29,26.6,22.4,5.9,85.50,0,1
2025-06-30,26.3,22.4,4.3,85.79,0,1
